PT,PT_Low,PT_High,CS/A_cm2,error_cm2,CS/A_pb,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",y,QM,QM_Low,QM_High,SqrtS,xF,P NUCLEUS --> MU+ MU- X
1.3,1.2,1.4,78.1,9.8,0.0781,0.0781,0.0098,,,0.21,7.5,7,8,300,0.010577345,
1.5,1.4,1.6,38,7.2,0.038,0.038,0.0072,,,0.21,7.5,7,8,300,0.010577345,
1.7,1.6,1.8,46.4,8.2,0.0464,0.0464,0.0082,,,0.21,7.5,7,8,300,0.010577345,
1.9,1.8,2,19.2,4.9,0.0192,0.0192,0.0049,,,0.21,7.5,7,8,300,0.010577345,
2.1,2,2.2,25,6,0.025,0.025,0.006,,,0.21,7.5,7,8,300,0.010577345,
2.3,2.2,2.4,11.8,4.1,0.0118,0.0118,0.0041,,,0.21,7.5,7,8,300,0.010577345,
2.5,2.4,2.6,5.2,2.7,0.0052,0.0052,0.0027,,,0.21,7.5,7,8,300,0.010577345,
2.9,2.8,3,1.1,1.1,0.0011,0.0011,0.0011,,,0.21,7.5,7,8,300,0.010577345,
3.1,3,3.2,1.2,1.2,0.0012,0.0012,0.0012,,,0.21,7.5,7,8,300,0.010577345,
4.1,4,4.2,1.7,1.7,0.0017,0.0017,0.0017,,,0.21,7.5,7,8,300,0.010577345,
4.5,4.4,4.6,1.7,1.7,0.0017,0.0017,0.0017,,,0.21,7.5,7,8,300,0.010577345,
0.1,0,0.2,96,20,0.096,0.096,0.02,,,0.21,8.5,8,9,300,0.011987658,
0.3,0.2,0.4,70,11,0.07,0.07,0.011,,,0.21,8.5,8,9,300,0.011987658,
0.5,0.4,0.6,70,9,0.07,0.07,0.009,,,0.21,8.5,8,9,300,0.011987658,
